P:N1,P:N2,净利润,年化收益率%
44,41,0,0
44,42,0,0
44,43,0,0
44,44,0,0
44,45,0,0
44,46,0,0
44,47,0,0
44,48,0,0
44,49,0,0
44,50,0,0
43,1,0,0
43,2,1296247.75,130.51
43,3,149217.27,14.09
43,4,1261265.25,124.22
43,5,1261265.25,124.22
43,6,1261265.25,124.22
43,7,114234.77,10.79
43,8,2161247.38,190.16
43,9,1993655.05,175.42
43,10,1993655.05,175.42
43,11,2037033.35,179.23
43,12,527136.85,46.38
43,13,527136.85,46.38
43,14,1289229.47,113.44
43,15,1289229.47,113.44
43,16,1289229.47,113.44
43,17,1289229.47,113.44
43,18,1289229.47,113.44
43,19,1289229.47,113.44
43,20,1289229.47,113.44
43,21,1289229.47,113.44
43,22,1289229.47,113.44
43,23,1289229.47,113.44
43,24,1151328.25,101.3
43,25,1419412.9,124.89
43,26,1419412.9,124.89
43,27,945240.08,83.17
43,28,941860.3,82.87
43,29,941860.3,82.87
43,30,941860.3,82.87
43,31,941860.3,82.87
43,32,941860.3,82.87
43,33,941860.3,82.87
43,34,0,0
43,35,0,0
43,36,0,0
43,37,0,0
43,38,0,0
43,39,0,0
43,40,0,0
43,41,0,0
43,42,0,0
43,43,0,0
43,44,0,0
43,45,0,0
43,46,0,0
43,47,0,0
43,48,0,0
43,49,0,0
43,50,0,0
42,1,0,0
42,2,2331524.9,202.87
42,3,2331524.9,202.87
42,4,1449542.25,137.52
42,5,576898.9,54.47
42,6,2296542.4,199.82
42,7,2296542.4,199.82
42,8,2296542.4,199.82
42,9,2296542.4,199.82
42,10,2128950.08,185.24
42,11,2172328.38,189.01
42,12,658972.13,57.34
42,13,700951.13,60.99
42,14,700951.13,60.99
42,15,700951.13,60.99
42,16,700951.13,60.99
42,17,700951.13,60.99
42,18,700951.13,60.99
42,19,700951.13,60.99
42,20,1463043.75,127.3
42,21,1463043.75,127.3
42,22,1463043.75,127.3
42,23,1463043.75,127.3
42,24,1370815.35,119.27
42,25,1638900,142.6
42,26,1638900,142.6
42,27,1170730.18,101.87
42,28,1060497,92.27
42,29,1060497,92.27
42,30,1060497,92.27
42,31,1060497,92.27
42,32,1060497,92.27
42,33,941860.3,82.87
42,34,0,0
42,35,0,0
42,36,0,0
42,37,0,0
42,38,0,0
42,39,0,0
42,40,0,0
42,41,0,0
42,42,0,0
42,43,0,0
42,44,0,0
42,45,0,0
42,46,0,0
42,47,0,0
42,48,0,0
42,49,0,0
42,50,0,0
41,1,0,0
41,2,986610.4,93.05
41,3,434039.13,40.93
41,4,166296.9,15.52
41,5,2037104.18,177.25
41,6,2037104.18,177.25
41,7,2037104.18,177.25
41,8,2037104.18,177.25
41,9,2037104.18,177.25
41,10,2037104.18,177.25
41,11,2072086.68,180.29
41,12,600751.43,52.27
41,13,609147.22,53
41,14,609147.22,53
41,15,609147.22,53
41,16,609147.22,53
41,17,609147.22,53
41,18,609147.22,53
41,19,651126.22,56.65
41,20,651126.22,56.65
41,21,1413218.85,122.96
41,22,1413218.85,122.96
41,23,1463043.75,127.3
41,24,1370815.35,119.27
41,25,1638900,142.6
41,26,1638900,142.6
41,27,1170730.18,101.87
41,28,1060497,92.27
41,29,1060497,92.27
41,30,1060497,92.27
41,31,1060497,92.27
41,32,1060497,92.27
41,33,1096515,95.41
41,34,0,0
41,35,0,0
41,36,0,0
41,37,0,0
41,38,0,0
41,39,0,0
41,40,0,0
41,41,0,0
41,42,0,0
41,43,0,0
41,44,0,0
41,45,0,0
41,46,0,0
41,47,0,0
41,48,0,0
41,49,0,0
41,50,0,0
40,1,0,0
40,2,100075.88,9.45
40,3,1067298.38,99.58
40,4,2265045.9,197.08
40,5,2265045.9,197.08
40,6,1997303.68,173.79
40,7,1997303.68,173.79
40,8,1997303.68,173.79
40,9,2037104.18,177.25
40,10,2037104.18,177.25
40,11,2072086.68,180.29
40,12,600751.43,52.27
40,13,600751.43,52.27
40,14,600751.43,52.27
40,15,600751.43,52.27
40,16,600751.43,52.27
40,17,600751.43,52.27
40,18,609147.22,53
40,19,609147.22,53
40,20,1413218.85,122.96
40,21,1413218.85,122.96
40,22,1413218.85,122.96
40,23,1463043.75,127.3
40,24,1638900,142.6
40,25,1638900,142.6
40,26,1638900,142.6
40,27,1170730.18,101.87
40,28,1060497,92.27
40,29,1060497,92.27
40,30,1060497,92.27
40,31,1060497,92.27
40,32,1060497,92.27
40,33,1096515,95.41
40,34,0,0
40,35,0,0
40,36,0,0
40,37,0,0
40,38,0,0
40,39,0,0
40,40,0,0
40,41,0,0
40,42,0,0
40,43,0,0
40,44,0,0
40,45,0,0
40,46,0,0
40,47,0,0
40,48,0,0
40,49,0,0
40,50,0,0
39,1,0,0
39,2,990459.5,92.41
39,3,2265045.9,197.08
39,4,2090058.35,181.86
39,5,2090058.35,181.86
39,6,2265045.9,197.08
39,7,1997303.68,173.79
39,8,1997303.68,173.79
39,9,2037104.18,177.25
39,10,2037104.18,177.25
39,11,2072086.68,180.29
39,12,600751.43,52.27
39,13,600751.43,52.27
39,14,600751.43,52.27
39,15,600751.43,52.27
39,16,600751.43,52.27
39,17,600751.43,52.27
39,18,600751.43,52.27
39,19,1413218.85,122.96
39,20,1413218.85,122.96
39,21,1413218.85,122.96
39,22,1413218.85,122.96
39,23,1463043.75,127.3
39,24,1638900,142.6
39,25,1638900,142.6
39,26,1638900,142.6
39,27,1170730.18,101.87
39,28,1060497,92.27
39,29,1060497,92.27
39,30,1060497,92.27
39,31,1060497,92.27
39,32,1060497,92.27
39,33,1096515,95.41
39,34,0,0
39,35,0,0
39,36,0,0
