P:N1,P:N2,净利润,年化收益率%,夏普比率
13,43,0,0,0
13,44,0,0,0
13,45,0,0,0
13,46,0,0,0
13,47,0,0,0
13,48,0,0,0
13,49,0,0,0
13,50,0,0,0
14,1,0,0,0
14,2,2990030.12,256.11,1.8101
14,3,126069.62,10.76,0.0299
14,4,126069.62,10.76,0.0299
14,5,602311.17,51.39,0.3487
14,6,394874.83,33.69,0.2152
14,7,246043.83,20.99,0.1188
14,8,-409790.82,-34.97,-0.3387
14,9,988618.81,84.36,0.6194
14,10,224325.19,19.14,0.1309
14,11,354728.92,30.27,0.2322
14,12,747334.9,63.77,0.4732
14,13,1381289.04,117.86,0.9692
14,14,0,0,0
14,15,-112847.36,-10.05,-0.0225
14,16,343274.02,30.56,0.289
14,17,185080.1,16.35,0.1676
14,18,-1304689.34,-115.26,-1.1429
14,19,-993140.22,-87.73,-0.9087
14,20,-903579.47,-79.82,-0.8703
14,21,-166356.42,-14.64,-0.198
14,22,-969060.82,-85.27,-1.0097
14,23,289820.89,24.73,0.2032
14,24,584246.8,49.85,0.515
14,25,584246.8,49.85,0.515
14,26,1213338.2,103.53,1.1993
14,27,1392119.19,121.08,1.0844
14,28,1594567.62,136.06,1.3001
14,29,1647021.28,140.01,1.3506
14,30,1246814.22,109.71,1.0644
14,31,1254498.06,110.39,1.0717
14,32,1030829.02,92.52,0.8959
14,33,660036.66,61.44,0.5988
14,34,-722816.4,-69.29,-0.9822
14,35,-983144.54,-94.85,-1.4937
14,36,-746327.87,-72,-1.4272
14,37,-746327.87,-72,-1.4272
14,38,-26976.65,-2.66,-0.0805
14,39,-81071.73,-8.05,-0.3178
14,40,-259096.95,-25.31,-2.0827
14,41,0,0,0
14,42,0,0,0
14,43,0,0,0
14,44,0,0,0
14,45,0,0,0
14,46,0,0,0
14,47,0,0,0
14,48,0,0,0
14,49,0,0,0
14,50,0,0,0
15,1,0,0,0
15,2,-1448160.62,-122.18,-0.9574
15,3,-2186207.21,-184.45,-1.4072
15,4,-2678112.75,-225.95,-1.693
15,5,439801.27,37.53,0.2545
15,6,-2485878.68,-209.74,-1.6276
15,7,-2376879.49,-200.54,-1.6101
15,8,342294.45,29.21,0.1826
15,9,560796.54,47.85,0.3276
15,10,573753.01,48.96,0.3376
15,11,1064846.27,90.86,0.6838
15,12,512496.51,43.73,0.3305
15,13,884685.73,75.49,0.5696
15,14,624489.94,53.29,0.3972
15,15,0,0,0
15,16,619718.15,54.75,0.4521
15,17,-12167.86,-1.07,0.0053
15,18,-310829.18,-27.46,-0.3403
15,19,-121824.2,-10.76,-0.1735
15,20,-737401.01,-64.89,-0.7369
15,21,-97335.63,-8.57,-0.145
15,22,-368840.4,-32.33,-0.3764
15,23,-77575.86,-6.8,-0.1552
15,24,59764.42,5.24,-0.0381
