P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
0.04,1,-22165130.25,-2124.2,-21.154
0.04,2,-22665506.93,-2157.4,-20.8083
0.04,3,-20514426.21,-1966,-16.067
0.04,4,-18626198.09,-1785.04,-14.3935
0.04,5,-18177645.07,-1742.05,-14.0527
0.04,6,-17402461.82,-1671.18,-13.1887
0.04,7,-16496474.98,-1580.94,-12.842
0.04,8,-14021904.02,-1304.6,-10.2277
0.04,9,-12564654.57,-1169.02,-9.2722
0.04,10,-12632987.76,-1175.38,-9.2985
0.04,11,-12058422.74,-1121.92,-8.9077
0.04,12,-12102612.51,-1126.03,-8.9719
0.04,13,-11689223.31,-1087.57,-8.8009
0.04,14,-10913873.26,-1015.43,-8.2179
0.04,15,-11252828.79,-1046.97,-8.5217
0.04,16,-10401349.4,-967.75,-7.9584
0.04,17,-10197801.86,-948.81,-7.8524
0.04,18,-8962208.14,-833.85,-7.0231
0.04,19,-9636101.86,-896.55,-7.4924
0.04,20,-8162504.6,-759.44,-6.471
0.04,21,-8360152.92,-777.83,-6.6119
0.04,22,-7829613.13,-728.47,-6.2405
0.04,23,-7434458.41,-691.71,-5.942
0.04,24,-7502180.13,-698.01,-6.0042
0.04,25,-6126916.04,-570.05,-4.922
0.04,26,-5856641.84,-544.9,-4.7261
0.04,27,-6541671.79,-608.64,-5.3677
0.04,28,-6186535.69,-575.6,-5.1538
0.04,29,-5500501.44,-511.77,-4.6449
0.04,30,-5179996.28,-481.95,-4.3715
0.04,31,-4832577.84,-449.63,-4.1189
0.04,32,-4361558.64,-405.8,-3.7439
0.04,33,-4526885.8,-421.18,-3.8614
0.04,34,-4031508.99,-375.09,-3.4717
0.04,35,-3594523.99,-334.44,-3.098
0.04,36,-4174343.54,-407.94,-3.6573
0.04,37,-4416436.44,-431.6,-3.8773
0.04,38,-4225933.54,-412.99,-3.7335
0.04,39,-3620652.29,-353.83,-3.2689
0.04,40,-2814951.1,-275.1,-2.6848
0.04,41,-2800516.99,-273.68,-2.6724
0.04,42,-3271463.7,-319.71,-3.6392
0.04,43,-1067463.17,-104.65,-1.187
0.04,44,-1193998.08,-117.05,-1.3003
0.04,45,-1159827.79,-113.7,-1.2685
0.04,46,257296.29,25.46,0.272
0.04,47,-1103448,-108.06,-1.3736
0.04,48,-2683637.65,-254.49,-3.4211
0.04,49,-1212993.2,-118.91,-1.4979
0.04,50,-2049049.96,-204.87,-2.7153
0.05,1,-22165130.25,-2124.2,-21.154
0.05,2,-21153802.44,-2013.51,-16.1146
0.05,3,-20514426.21,-1966,-16.067
0.05,4,-18266931.72,-1754.19,-13.7946
0.05,5,-17818378.71,-1711.12,-13.4664
0.05,6,-17557181.43,-1682.59,-13.6177
0.05,7,-16496474.98,-1580.94,-12.842
0.05,8,-13397241,-1246.49,-9.7542
0.05,9,-12564654.57,-1169.02,-9.2722
0.05,10,-12632987.76,-1175.38,-9.2985
0.05,11,-12058422.74,-1121.92,-8.9077
0.05,12,-12102612.51,-1126.03,-8.9719
0.05,13,-11180818.44,-1040.27,-8.4561
0.05,14,-10405468.39,-968.13,-7.8781
0.05,15,-10744423.91,-999.67,-8.178
0.05,16,-10401349.4,-967.75,-7.9584
0.05,17,-10197801.86,-948.81,-7.8524
0.05,18,-8962208.14,-833.85,-7.0231
0.05,19,-9636101.86,-896.55,-7.4924
0.05,20,-8162504.6,-759.44,-6.471
0.05,21,-8360152.92,-777.83,-6.6119
0.05,22,-8494739.81,-790.35,-6.7281
0.05,23,-6931687.38,-644.93,-5.5563
0.05,24,-7229700.31,-672.65,-5.7732
0.05,25,-6126916.04,-570.05,-4.922
0.05,26,-5856641.84,-544.9,-4.7261
0.05,27,-6541671.79,-608.64,-5.3677
0.05,28,-6186535.69,-575.6,-5.1538
0.05,29,-5500501.44,-511.77,-4.6449
0.05,30,-5179996.28,-481.95,-4.3715
0.05,31,-4832577.84,-449.63,-4.1189
0.05,32,-4361558.64,-405.8,-3.7439
0.05,33,-4526885.8,-421.18,-3.8614
0.05,34,-4031508.99,-375.09,-3.4717
0.05,35,-3594523.99,-334.44,-3.098
0.05,36,-4174343.54,-407.94,-3.6573
0.05,37,-4416436.44,-431.6,-3.8773
0.05,38,-3148946.92,-307.74,-3.1192
0.05,39,-2543665.67,-248.58,-2.5713
0.05,40,-1737964.49,-169.85,-1.871
0.05,41,-1723530.38,-168.43,-1.8561
0.05,42,-504707.76,-49.32,-0.6107
0.05,43,9523.44,0.94,-0.0108
0.05,44,-117011.46,-11.58,-0.1474
0.05,45,-82841.18,-8.2,-0.1115
0.05,46,257296.29,25.46,0.272
0.05,47,-1103448,-108.06,-1.3736
0.05,48,-2683637.65,-254.49,-3.4211
0.05,49,-1212993.2,-118.91,-1.4979
0.05,50,-2049049.96,-204.87,-2.7153
0.06,1,-22165130.25,-2124.2,-21.154
0.06,2,-20906436.36,-2003.57,-15.6282
0.06,3,-19970882.66,-1913.91,-15.4356
0.06,4,-18266931.72,-1754.19,-13.7946
0.06,5,-17818378.71,-1711.12,-13.4664
0.06,6,-15271838.95,-1420.9,-11.2216
0.06,7,-14211132.5,-1322.21,-10.513
0.06,8,-12320254.39,-1146.28,-9.7627
0.06,9,-11487667.96,-1068.82,-9.2533
0.06,10,-11556001.15,-1075.18,-9.279
0.06,11,-10981436.13,-1021.72,-8.8527
0.06,12,-10436234.18,-970.99,-8.4385
0.06,13,-10022844.98,-932.53,-8.2662
0.06,14,-9247494.92,-860.39,-7.6305
0.06,15,-9586450.45,-891.93,-7.9662
0.06,16,-9243375.94,-860.01,-7.7302
0.06,17,-7896964.38,-734.74,-6.7333
0.06,18,-7804234.67,-726.11,-6.7131
0.06,19,-7335264.38,-682.48,-6.3413
0.06,20,-7004531.14,-651.7,-6.1047
0.06,21,-7202179.46,-670.09,-6.2596
0.06,22,-7417753.2,-690.15,-6.4951
0.06,23,-5773713.91,-537.19,-5.0849
0.06,24,-6071726.85,-564.92,-5.3276
0.06,25,-5049929.43,-469.85,-4.4683
0.06,26,-4779655.23,-444.7,-4.2476
0.06,27,-4913320,-457.14,-4.483
0.06,28,-3706304.55,-344.84,-3.5024
0.06,29,-3020270.3,-281.01,-2.9019
0.06,30,-3114905.36,-289.81,-2.9833
0.06,31,-3204226.05,-298.12,-3.05
0.06,32,-2733206.85,-254.3,-2.6105
0.06,33,-2898534.01,-269.68,-2.7511
0.06,34,-2403157.2,-223.59,-2.293
0.06,35,-1966172.2,-182.93,-1.8526
0.06,36,-1385683.91,-132.03,-1.4315
0.06,37,-1622079.66,-158.15,-1.6711
0.06,38,-1992300.5,-194.7,-2.0179
0.06,39,-1992300.5,-194.7,-2.0179
0.06,40,-1186599.31,-115.96,-1.2991
0.06,41,-1172165.2,-114.55,-1.2841
0.06,42,-504707.76,-49.32,-0.6107
0.06,43,9523.44,0.94,-0.0108
0.06,44,-117011.46,-11.58,-0.1474
0.06,45,-82841.18,-8.2,-0.1115
0.06,46,257296.29,25.46,0.272
0.06,47,-1103448,-108.06,-1.3736
0.06,48,-2683637.65,-254.49,-3.4211
0.06,49,-1212993.2,-118.91,-1.4979
0.06,50,-2049049.96,-204.87,-2.7153
0.07,1,-20504450.8,-1907.74,-17.964
0.07,2,-19245756.91,-1790.63,-13.5919
0.07,3,-18310203.21,-1703.59,-13.3797
0.07,4,-16136308.85,-1501.33,-11.7816
0.07,5,-15687755.84,-1459.6,-11.4813
0.07,6,-14525657.35,-1351.47,-10.5832
0.07,7,-13391263.11,-1245.93,-9.8159
0.07,8,-11811849.51,-1098.98,-9.3898
0.07,9,-11480062.23,-1068.11,-9.1217
0.07,10,-10966609.43,-1020.34,-8.7868
0.07,11,-10392044.4,-966.88,-8.3665
0.07,12,-10436234.18,-970.99,-8.4385
0.07,13,-10022844.98,-932.53,-8.2662
0.07,14,-9586450.45,-891.93,-7.9662
0.07,15,-9586450.45,-891.93,-7.9662
0.07,16,-9324616.45,-867.57,-7.7462
0.07,17,-7896964.38,-734.74,-6.7333
0.07,18,-7804234.67,-726.11,-6.7131
0.07,19,-7335264.38,-682.48,-6.3413
0.07,20,-6453165.96,-600.41,-5.6107
0.07,21,-6007665.54,-558.96,-5.2668
0.07,22,-5826930.03,-542.14,-5.2455
0.07,23,-4340201.05,-403.81,-3.8503
0.07,24,-4638213.99,-431.54,-4.0867
0.07,25,-4498564.25,-418.55,-3.9863
0.07,26,-4228290.05,-393.4,-3.7661
0.07,27,-4913320,-457.14,-4.483
0.07,28,-3706304.55,-344.84,-3.5024
0.07,29,-3020270.3,-281.01,-2.9019
0.07,30,-3114905.36,-289.81,-2.9833
0.07,31,-3204226.05,-298.12,-3.05
0.07,32,-2733206.85,-254.3,-2.6105
0.07,33,-2898534.01,-269.68,-2.7511
0.07,34,-2403157.2,-223.59,-2.293
0.07,35,-1966172.2,-182.93,-1.8526
0.07,36,-1385683.91,-132.03,-1.4315
0.07,37,-1622079.66,-158.15,-1.6711
0.07,38,-1992300.5,-194.7,-2.0179
0.07,39,-1992300.5,-194.7,-2.0179
0.07,40,-1186599.31,-115.96,-1.2991
0.07,41,-1172165.2,-114.55,-1.2841
0.07,42,-504707.76,-49.32,-0.6107
0.07,43,9523.44,0.94,-0.0108
0.07,44,-2669247.33,-261.41,-2.5891
0.07,45,-2669247.33,-261.41,-2.5891
0.07,46,-1103448,-108.06,-1.3736
0.07,47,-1103448,-108.06,-1.3736
0.07,48,-2683637.65,-254.49,-3.4211
0.07,49,-1212993.2,-118.91,-1.4979
0.07,50,-2049049.96,-204.87,-2.7153
0.08,1,-20504450.8,-1907.74,-17.964
0.08,2,-19245756.91,-1790.63,-13.5919
0.08,3,-17801798.34,-1656.29,-12.9875
0.08,4,-15546917.12,-1446.49,-11.291
0.08,5,-14546998.94,-1353.46,-10.5088
0.08,6,-13384900.45,-1245.34,-9.6482
0.08,7,-12250506.21,-1139.79,-8.8991
0.08,8,-11179497.49,-1040.15,-8.7661
0.08,9,-10847710.2,-1009.28,-8.5055
0.08,10,-10415244.25,-969.04,-8.2885
0.08,11,-9840679.22,-915.58,-7.8741
0.08,12,-9884869,-919.69,-7.9432
0.08,13,-9471479.8,-881.23,-7.7653
0.08,14,-8617230.91,-801.75,-7.1876
0.08,15,-8617230.91,-801.75,-7.1876
0.08,16,-8488463.22,-789.77,-7.1184
0.08,17,-6463451.51,-601.36,-5.473
0.08,18,-6370721.81,-592.74,-5.4456
0.08,19,-5901751.51,-549.1,-5.0844
0.08,20,-6159821.5,-573.11,-5.503
0.08,21,-5714321.07,-531.66,-5.1553
0.08,22,-5826930.03,-542.14,-5.2455
0.08,23,-4340201.05,-403.81,-3.8503
0.08,24,-4638213.99,-431.54,-4.0867
0.08,25,-4498564.25,-418.55,-3.9863
0.08,26,-4228290.05,-393.4,-3.7661
0.08,27,-4913320,-457.14,-4.483
0.08,28,-2560239.59,-230.84,-2.4962
0.08,29,-1874205.34,-168.98,-1.8867
0.08,30,-2058161.09,-185.57,-2.0469
0.08,31,-2058161.09,-185.57,-2.0469
0.08,32,-1587141.89,-143.1,-1.597
0.08,33,-1257092.24,-113.34,-1.2786
0.08,34,-1257092.24,-113.34,-1.2786
0.08,35,-820107.24,-73.94,-0.8325
0.08,36,-1385683.91,-132.03,-1.4315
0.08,37,-1622079.66,-158.15,-1.6711
0.08,38,-1992300.5,-194.7,-2.0179
0.08,39,-1992300.5,-194.7,-2.0179
0.08,40,-1186599.31,-115.96,-1.2991
0.08,41,-1471586.5,-141.16,-1.5952
0.08,42,-558653.17,-53.59,-0.6688
0.08,43,-82841.18,-8.2,-0.1115
0.08,44,-2669247.33,-261.41,-2.5891
0.08,45,-2669247.33,-261.41,-2.5891
0.08,46,-1103448,-108.06,-1.3736
0.08,47,-1103448,-108.06,-1.3736
0.08,48,-2683637.65,-254.49,-3.4211
0.08,49,-2049049.96,-204.87,-2.7153
0.08,50,-2049049.96,-204.87,-2.7153
0.09,1,-19452502.38,-1809.87,-16.7138
0.09,2,-18737352.04,-1743.33,-13.2014
0.09,3,-18397561.55,-1766.74,-13.6628
0.09,4,-16685321.27,-1552.41,-13.5725
0.09,5,-13800817.34,-1284.03,-9.8974
0.09,6,-13384900.45,-1245.34,-9.6482
0.09,7,-12250506.21,-1139.79,-8.8991
0.09,8,-11179497.49,-1040.15,-8.7661
0.09,9,-10847710.2,-1009.28,-8.5055
0.09,10,-9533096.56,-886.96,-7.5039
0.09,11,-8958531.54,-833.51,-7.1008
0.09,12,-9002721.31,-837.62,-7.1648
0.09,13,-7737452.76,-719.9,-6.3163
0.09,14,-6883203.88,-640.42,-5.7379
0.09,15,-6883203.88,-640.42,-5.7379
0.09,16,-6754436.19,-628.44,-5.6657
0.09,17,-5611572.16,-522.1,-4.792
0.09,18,-5518842.46,-513.48,-4.7608
0.09,19,-5564627.71,-517.74,-4.9999
0.09,20,-4142320.21,-385.4,-3.6787
0.09,21,-2737411.45,-246.81,-2.519
0.09,22,-2737411.45,-246.81,-2.519
0.09,23,-2342256.74,-211.18,-2.1852
0.09,24,-3325299.63,-299.81,-3.109
0.09,25,-3832126.49,-345.51,-3.4886
0.09,26,-2915375.69,-262.86,-2.7747
0.09,27,-2774278.67,-250.13,-2.6604
0.09,28,-2508463.26,-226.17,-2.4493
0.09,29,-2058161.09,-185.57,-2.0469
0.09,30,-2058161.09,-185.57,-2.0469
0.09,31,-2058161.09,-185.57,-2.0469
0.09,32,-1587141.89,-143.1,-1.597
0.09,33,-1257092.24,-113.34,-1.2786
0.09,34,-1257092.24,-113.34,-1.2786
0.09,35,-820107.24,-73.94,-0.8325
0.09,36,-1385683.91,-132.03,-1.4315
0.09,37,-1622079.66,-158.15,-1.6711
0.09,38,-1992300.5,-194.7,-2.0179
0.09,39,-1992300.5,-194.7,-2.0179
0.09,40,-1186599.31,-115.96,-1.2991
0.09,41,-1471586.5,-141.16,-1.5952
0.09,42,-558653.17,-53.59,-0.6688
0.09,43,257296.29,25.46,0.272
0.09,44,-1103448,-108.06,-1.3736
0.09,45,-1103448,-108.06,-1.3736
0.09,46,-1103448,-108.06,-1.3736
0.09,47,-1103448,-108.06,-1.3736
0.09,48,-2683637.65,-254.49,-3.4211
0.09,49,-2049049.96,-204.87,-2.7153
0.09,50,-2049049.96,-204.87,-2.7153
0.1,1,-18827839.35,-1751.75,-16.0198
0.1,2,-17827155.4,-1658.65,-12.412
0.1,3,-15814615.09,-1471.4,-12.3668
0.1,4,-15649530.25,-1456.04,-12.6431
0.1,5,-12723830.73,-1183.83,-9.8934
0.1,6,-12307913.84,-1145.13,-9.6315
0.1,7,-11173519.6,-1039.59,-8.8337
0.1,8,-10809518.73,-1005.72,-8.5887
0.1,9,-10250188.7,-953.68,-8.1999
0.1,10,-9368041.01,-871.61,-7.4152
0.1,11,-9002721.31,-837.62,-7.1648
0.1,12,-9002721.31,-837.62,-7.1648
0.1,13,-7737452.76,-719.9,-6.3163
0.1,14,-7472007.1,-695.2,-6.4153
0.1,15,-6380432.84,-593.64,-5.3153
0.1,16,-5618848.84,-522.78,-4.7971
0.1,17,-5618848.84,-522.78,-4.7971
0.1,18,-5016071.42,-466.7,-4.3364
0.1,19,-3326988.49,-299.97,-2.9784
0.1,20,-2996255.25,-270.15,-2.7262
0.1,21,-2737411.45,-246.81,-2.519
0.1,22,-2737411.45,-246.81,-2.519
0.1,23,-2342256.74,-211.18,-2.1852
