P:N1,P:N2,净利润,年化收益率%,夏普比率
7,3,-4950227.79,-421.45,-2.8952
7,4,-1912204.46,-158.01,-1.0906
7,5,440271.45,38.53,0.2807
7,6,-1709469.76,-149.58,-0.8985
7,7,0,0,0
7,8,-1986000.56,-169.34,-1.0261
7,9,-2466519.45,-210.31,-1.2828
7,10,-2652009.07,-226.13,-1.3647
7,11,-1744009.49,-148.71,-0.8646
7,12,-2041813.96,-174.1,-1.0622
7,13,-2264938.95,-193.12,-1.2052
7,14,-2625413.96,-225.66,-1.4709
7,15,-2772622.51,-238.31,-1.5528
7,16,-2949023.55,-253.47,-1.6751
7,17,-1096396.66,-94.24,-0.6133
7,18,-645277.23,-55.46,-0.3542
7,19,-462501.36,-39.59,-0.2225
7,20,-828148.58,-70.9,-0.4874
7,21,-1081873.6,-92.62,-0.6872
7,22,-631059.22,-54.02,-0.3818
7,23,-474119.06,-40.59,-0.276
7,24,-324317.98,-27.76,-0.1652
7,25,-605682.36,-51.85,-0.4085
7,26,-512969.99,-43.91,-0.3265
7,27,-548389.09,-47.52,-0.3666
7,28,-1724045.13,-161.13,-1.5317
7,29,-2051763.88,-194.35,-2.0478
7,30,-1611062.25,-152.61,-1.9464
7,31,-1714826.39,-161.22,-2.0875
7,32,-2148854.05,-202.03,-2.5969
7,33,-1328687.93,-125.86,-2.0643
7,34,-1376653.64,-130.4,-2.2436
7,35,-1288860.84,-122.09,-2.2047
7,36,-624674.92,-59.17,-1.2975
7,37,-605088.67,-57.57,-1.6501
7,38,-684640.97,-64.57,-1.8658
7,39,-847643.63,-78.58,-2.3664
7,40,-53365.72,-5.37,-1.4701
7,41,0,0,0
7,42,0,0,0
7,43,0,0,0
7,44,0,0,0
7,45,0,0,0
7,46,0,0,0
7,47,0,0,0
7,48,0,0,0
7,49,0,0,0
7,50,0,0,0
8,1,0,0,0
8,2,-5844641.31,-475.35,-3.278
8,3,-5052359.75,-433.06,-2.957
8,4,-3224579.45,-271.7,-1.7712
8,5,-1884426.63,-158.78,-0.9919
8,6,-863958.77,-72.8,-0.4839
8,7,-1567782.89,-132.1,-0.8915
8,8,0,0,0
8,9,-2969191.35,-253.17,-1.6261
8,10,-2909639.49,-250.09,-1.5572
8,11,-1227074.57,-105.47,-0.6099
8,12,-1008990.19,-86.72,-0.515
8,13,-1102662.74,-94.78,-0.5769
8,14,-2293029.93,-197.09,-1.293
8,15,-2394086.33,-205.77,-1.3562
8,16,-2060750.54,-177.12,-1.1812
8,17,-1810414.59,-155.61,-1.079
8,18,-2246246.84,-193.07,-1.3815
8,19,-1922090.64,-164.54,-1.1871
8,20,-1669327.24,-142.91,-1.0342
8,21,-2008054.56,-171.9,-1.2965
8,22,-574273.31,-49.16,-0.3447
8,23,-574273.31,-49.16,-0.3447
8,24,-379849.93,-32.52,-0.2045
8,25,-674553.06,-57.75,-0.4638
8,26,-1130875.14,-99.6,-0.8936
8,27,-503666.74,-43.64,-0.3324
8,28,-1667703.19,-155.86,-1.4802
8,29,-1995421.94,-189.02,-1.9881
8,30,-2362302.88,-222.1,-2.6018
8,31,-1658284.35,-155.91,-2.0138
8,32,-1703607,-160.17,-2.0668
8,33,-1046753.79,-99.15,-1.6627
8,34,-1055764.71,-100.01,-1.8598
8,35,-1233044.14,-116.8,-2.072
8,36,-574330.49,-54.4,-1.1666
8,37,-560566.43,-53.33,-1.491
8,38,-639918.63,-60.35,-1.7003
8,39,-802521.07,-74.39,-2.1795
8,40,-31654.88,0,-1.2256
8,41,0,0,0
8,42,0,0,0
8,43,0,0,0
8,44,0,0,0
8,45,0,0,0
8,46,0,0,0
8,47,0,0,0
8,48,0,0,0
