P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
0.2,48,3151495.7,143.31,2.2328
0.2,49,3151495.7,143.31,2.2328
0.98,4,3151495.7,143.31,2.2328
0.99,4,3151495.7,143.31,2.2328
0.38,9,3250028.13,141.76,1.4744
0.21,49,3090321.52,140.53,2.4973
0.21,50,3090321.52,140.53,2.4973
0.22,49,3090321.52,140.53,2.4973
0.22,50,3090321.52,140.53,2.4973
0.23,48,3090321.52,140.53,2.4973
0.23,49,3090321.52,140.53,2.4973
0.23,50,3090321.52,140.53,2.4973
0.24,48,3090321.52,140.53,2.4973
0.24,49,3090321.52,140.53,2.4973
0.24,50,3090321.52,140.53,2.4973
0.74,7,3084891.73,140.28,2.0912
0.75,7,3084891.73,140.28,2.0912
0.76,7,3084891.73,140.28,2.0912
0.77,7,3084891.73,140.28,2.0912
0.46,4,3179446.2,138.69,1.2418
0.47,4,3179446.2,138.69,1.2418
0.48,4,3179446.2,138.69,1.2418
0.49,4,3179446.2,138.69,1.2418
0.53,9,3089973.63,137.5,1.7324
0.54,9,3089973.63,137.5,1.7324
0.55,9,3089973.63,137.5,1.7324
0.56,8,3089973.63,137.5,1.7324
0.56,9,3089973.63,137.5,1.7324
0.57,8,3089973.63,137.5,1.7324
0.57,9,3089973.63,137.5,1.7324
0.96,5,2954315.7,134.34,1.8872
0.97,5,2954315.7,134.34,1.8872
0.96,4,2879257.75,130.93,2.0127
0.97,4,2879257.75,130.93,2.0127
2.12,2,2939072.9,130.79,1.7831
2.13,2,2939072.9,130.79,1.7831
2.14,2,2939072.9,130.79,1.7831
0.35,12,3063790.75,130.42,1.9385
0.78,6,2834213.98,128.88,1.9793
0.79,6,2834213.98,128.88,1.9793
0.8,6,2834213.98,128.88,1.9793
0.54,8,2891875.83,128.69,1.5504
0.55,8,2891875.83,128.69,1.5504
0.68,8,2823353.3,128.39,2.0213
0.69,8,2823353.3,128.39,2.0213
0.7,8,2823353.3,128.39,2.0213
0.71,8,2823353.3,128.39,2.0213
0.72,8,2823353.3,128.39,2.0213
0.5,4,2825637.67,125.45,1.0104
0.51,4,2825637.67,125.45,1.0104
0.52,4,2825637.67,125.45,1.0104
0.53,4,2825637.67,125.45,1.0104
0.54,4,2825637.67,125.45,1.0104
1.36,3,2613827.98,123.77,1.7296
1.37,3,2613827.98,123.77,1.7296
1.38,3,2613827.98,123.77,1.7296
1.39,3,2613827.98,123.77,1.7296
1.4,3,2613827.98,123.77,1.7296
1.41,3,2613827.98,123.77,1.7296
1.42,3,2613827.98,123.77,1.7296
1.43,3,2613827.98,123.77,1.7296
0.88,2,2769538.17,122.96,1.007
0.89,2,2769538.17,122.96,1.007
0.9,2,2769538.17,122.96,1.007
1.07,2,2724142.9,120.94,1.09
1.08,2,2724142.9,120.94,1.09
0.39,6,2857560.3,120.88,1.1226
0.43,8,2837441.6,120.78,1.3452
0.44,8,2837441.6,120.78,1.3452
0.45,8,2837441.6,120.78,1.3452
0.46,8,2645179.65,119.94,1.2997
0.77,2,2644598.35,117.41,0.9043
0.35,11,2847785.95,116.47,1.6993
0.36,11,2847785.95,116.47,1.6993
0.37,11,2847785.95,116.47,1.6993
0.4,5,2646133.15,115.42,1.0153
0.41,5,2646133.15,115.42,1.0153
0.42,5,2646133.15,115.42,1.0153
0.2,45,2459606.9,111.85,1.6192
0.2,46,2459606.9,111.85,1.6192
0.2,47,2459606.9,111.85,1.6192
1.44,1,2513757.62,109.65,1.0358
1.45,1,2513757.62,109.65,1.0358
1.46,1,2513757.62,109.65,1.0358
0.28,13,2672651.85,109.31,1.5098
0.29,13,2672651.85,109.31,1.5098
0.3,13,2672651.85,109.31,1.5098
0.31,13,2672651.85,109.31,1.5098
1.18,2,2451765.07,109.24,0.9953
1.19,2,2451765.07,109.24,0.9953
1.2,2,2451765.07,109.24,0.9953
1.21,2,2451765.07,109.24,0.9953
1.22,2,2451765.07,109.24,0.9953
1.23,2,2451765.07,109.24,0.9953
1.24,2,2451765.07,109.24,0.9953
1.25,2,2451765.07,109.24,0.9953
0.53,8,2450664.78,109.05,1.1965
0.74,6,2393002.93,108.82,1.5151
0.75,6,2393002.93,108.82,1.5151
0.76,6,2393002.93,108.82,1.5151
0.77,6,2393002.93,108.82,1.5151
0.68,7,2382142.25,108.32,1.5629
0.69,7,2382142.25,108.32,1.5629
0.7,7,2382142.25,108.32,1.5629
0.71,7,2382142.25,108.32,1.5629
0.72,7,2382142.25,108.32,1.5629
0.73,7,2382142.25,108.32,1.5629
0.78,2,2374822.13,105.43,0.8235
0.79,2,2374822.13,105.43,0.8235
0.8,2,2374822.13,105.43,0.8235
0.81,2,2374822.13,105.43,0.8235
0.82,2,2374822.13,105.43,0.8235
0.83,2,2374822.13,105.43,0.8235
0.84,2,2374822.13,105.43,0.8235
0.35,10,2575891.08,105.35,1.5059
0.36,10,2575891.08,105.35,1.5059
0.37,10,2575891.08,105.35,1.5059
0.85,2,2347467.3,104.22,0.8032
0.86,2,2347467.3,104.22,0.8032
0.87,2,2347467.3,104.22,0.8032
0.58,7,2283043.2,103.52,1.3556
0.59,7,2283043.2,103.52,1.3556
0.6,7,2283043.2,103.52,1.3556
0.91,4,2275033.68,103.45,1.5462
0.92,4,2275033.68,103.45,1.5462
0.93,4,2275033.68,103.45,1.5462
0.94,4,2275033.68,103.45,1.5462
0.95,4,2275033.68,103.45,1.5462
0.39,9,2369828.98,103.37,1.0744
0.4,9,2369828.98,103.37,1.0744
0.41,9,2369828.98,103.37,1.0744
1.06,2,2316188.8,102.83,0.8353
1.03,4,2243695.6,102.03,1.6975
1.04,4,2243695.6,102.03,1.6975
1.05,4,2243695.6,102.03,1.6975
1.06,4,2243695.6,102.03,1.6975
1.07,4,2243695.6,102.03,1.6975
1.08,4,2243695.6,102.03,1.6975
1.09,4,2243695.6,102.03,1.6975
1.1,4,2243695.6,102.03,1.6975
1.87,2,2090862.3,100.41,1.2104
1.88,2,2090862.3,100.41,1.2104
1.89,2,2090862.3,100.41,1.2104
1.9,2,2090862.3,100.41,1.2104
1.91,2,2090862.3,100.41,1.2104
1.92,2,2090862.3,100.41,1.2104
1.93,2,2090862.3,100.41,1.2104
1.94,2,2090862.3,100.41,1.2104
1.95,2,2090862.3,100.41,1.2104
1.96,2,2090862.3,100.41,1.2104
1.97,2,2090862.3,100.41,1.2104
1.98,2,2090862.3,100.41,1.2104
1.99,2,2090862.3,100.41,1.2104
2,2,2090862.3,100.41,1.2104
2.01,2,2090862.3,100.41,1.2104
2.02,2,2090862.3,100.41,1.2104
2.03,2,2090862.3,100.41,1.2104
2.04,2,2090862.3,100.41,1.2104
2.05,2,2090862.3,100.41,1.2104
2.06,2,2090862.3,100.41,1.2104
2.07,2,2090862.3,100.41,1.2104
2.08,2,2090862.3,100.41,1.2104
2.09,2,2090862.3,100.41,1.2104
2.1,2,2090862.3,100.41,1.2104
2.11,2,2090862.3,100.41,1.2104
0.28,12,2435244.7,99.6,1.3629
0.29,12,2435244.7,99.6,1.3629
0.3,12,2435244.7,99.6,1.3629
0.31,11,2435244.7,99.6,1.3629
0.31,12,2435244.7,99.6,1.3629
0.2,50,2168637.65,98.62,1.7784
1.26,3,2065508.35,97.8,1.2291
1.27,3,2065508.35,97.8,1.2291
1.28,3,2065508.35,97.8,1.2291
1.29,3,2065508.35,97.8,1.2291
1.3,3,2065508.35,97.8,1.2291
1.31,3,2065508.35,97.8,1.2291
1.32,3,2065508.35,97.8,1.2291
1.33,3,2065508.35,97.8,1.2291
1.34,3,2065508.35,97.8,1.2291
1.35,3,2065508.35,97.8,1.2291
0.91,5,2114259.6,96.14,1.3348
0.92,5,2114259.6,96.14,1.3348
0.93,5,2114259.6,96.14,1.3348
0.94,5,2114259.6,96.14,1.3348
0.95,5,2114259.6,96.14,1.3348
1.47,1,2192798.28,95.65,0.8814
1.48,1,2192798.28,95.65,0.8814
1.49,1,2192798.28,95.65,0.8814
1.5,1,2192798.28,95.65,0.8814
0.38,6,2226034.23,94.16,0.6035
1.39,1,2151258.57,93.84,0.8416
1.4,1,2151258.57,93.84,0.8416
0.47,5,2123695.85,92.63,0.6242
0.48,5,2123695.85,92.63,0.6242
0.22,33,2059481.83,91.65,1.1746
0.22,34,2059481.83,91.65,1.1746
0.22,35,2059481.83,91.65,1.1746
0.22,36,2059481.83,91.65,1.1746
0.22,37,2059481.83,91.65,1.1746
0.23,32,2059481.83,91.65,1.1746
0.23,33,2059481.83,91.65,1.1746
0.23,34,2059481.83,91.65,1.1746
0.23,35,2059481.83,91.65,1.1746
0.23,36,2059481.83,91.65,1.1746
0.91,3,1986406.67,90.33,0.7771
0.92,3,1986406.67,90.33,0.7771
0.93,3,1986406.67,90.33,0.7771
0.94,3,1986406.67,90.33,0.7771
0.95,3,1986406.67,90.33,0.7771
0.96,3,1986406.67,90.33,0.7771
0.97,3,1986406.67,90.33,0.7771
0.27,36,1862870.23,90.2,1.3956
0.38,8,2041827.83,89.06,0.8826
0.33,10,2163349.83,88.48,1.1915
1.83,2,1816023.45,87.21,1.0298
1.84,2,1816023.45,87.21,1.0298
1.85,2,1816023.45,87.21,1.0298
1.86,2,1816023.45,87.21,1.0298
1.12,2,1946476.02,86.72,0.5009
1.13,2,1946476.02,86.72,0.5009
1.14,2,1946476.02,86.72,0.5009
0.49,6,1902523.5,82.99,0.8098
0.46,5,1851515.3,80.76,0.4873
0.76,3,1759861.5,80.03,0.3786
1.05,2,1781585.8,79.1,0.4428
1.18,3,1695740.35,77.11,0.8476
1.19,3,1695740.35,77.11,0.8476
1.2,3,1695740.35,77.11,0.8476
1.21,3,1695740.35,77.11,0.8476
1.22,3,1695740.35,77.11,0.8476
1.23,3,1695740.35,77.11,0.8476
1.24,3,1695740.35,77.11,0.8476
1.25,3,1695740.35,77.11,0.8476
0.3,45,1510846.4,76.99,2.0948
0.3,46,1510846.4,76.99,2.0948
0.3,47,1510846.4,76.99,2.0948
0.3,48,1510846.4,76.99,2.0948
0.3,49,1510846.4,76.99,2.0948
0.3,50,1510846.4,76.99,2.0948
0.31,44,1510846.4,76.99,2.0948
0.31,45,1510846.4,76.99,2.0948
0.31,46,1510846.4,76.99,2.0948
0.31,47,1510846.4,76.99,2.0948
0.31,48,1510846.4,76.99,2.0948
0.31,49,1510846.4,76.99,2.0948
0.31,50,1510846.4,76.99,2.0948
0.73,6,1690253.45,76.86,1.0157
0.39,8,1742214.58,75.99,0.7429
0.4,8,1742214.58,75.99,0.7429
0.41,8,1742214.58,75.99,0.7429
0.42,7,1742214.58,75.99,0.7429
0.43,7,1742214.58,75.99,0.7429
0.44,7,1742214.58,75.99,0.7429
0.45,7,1742214.58,75.99,0.7429
0.46,7,1742214.58,75.99,0.7429
0.3,11,1807630.3,73.93,1.0327
2.54,1,1799984.35,73.62,0.7602
2.55,1,1799984.35,73.62,0.7602
2.56,1,1799984.35,73.62,0.7602
2.57,1,1799984.35,73.62,0.7602
2.58,1,1799984.35,73.62,0.7602
2.59,1,1799984.35,73.62,0.7602
0.45,4,1677237.3,73.16,0.4596
0.56,3,1677237.3,73.16,0.4596
0.57,3,1677237.3,73.16,0.4596
0.87,4,1583144.88,71.99,0.9749
0.88,4,1583144.88,71.99,0.9749
0.89,4,1583144.88,71.99,0.9749
0.9,4,1583144.88,71.99,0.9749
0.28,14,1577339.78,67.14,0.7655
0.29,14,1577339.78,67.14,0.7655
0.19,48,1386051.02,67.11,0.9737
0.19,49,1386051.02,67.11,0.9737
0.19,50,1386051.02,67.11,0.9737
1.41,1,1534562,66.94,0.6064
1.42,1,1534562,66.94,0.6064
1.43,1,1534562,66.94,0.6064
1.15,2,1496757.35,66.69,0.448
1.16,2,1496757.35,66.69,0.448
1.17,2,1496757.35,66.69,0.448
0.27,13,1623563.1,66.4,0.9969
0.73,5,1452846.3,66.07,0.8272
0.32,11,1611988.3,65.93,0.9799
0.32,12,1611988.3,65.93,0.9799
0.33,11,1611988.3,65.93,0.9799
0.34,11,1611988.3,65.93,0.9799
0.56,7,1442211.45,65.4,0.6805
0.57,7,1442211.45,65.4,0.6805
0.3,17,1458694.85,64.91,1.1614
0.83,5,1422370.8,64.68,0.8207
0.84,5,1422370.8,64.68,0.8207
0.85,5,1422370.8,64.68,0.8207
0.86,5,1422370.8,64.68,0.8207
0.87,5,1422370.8,64.68,0.8207
0.88,5,1422370.8,64.68,0.8207
0.89,5,1422370.8,64.68,0.8207
0.9,5,1422370.8,64.68,0.8207
0.32,10,1535735.42,62.81,0.8676
0.73,3,1371850.8,62.38,0.1207
0.74,3,1371850.8,62.38,0.1207
0.75,3,1371850.8,62.38,0.1207
0.2,43,1298386.3,62.35,0.824
0.2,44,1298386.3,62.35,0.824
0.64,2,1387758.85,61.61,0.49
0.65,2,1387758.85,61.61,0.49
0.66,2,1387758.85,61.61,0.49
1.09,2,1382033.65,61.57,0.2337
1.1,2,1382033.65,61.57,0.2337
1.11,2,1382033.65,61.57,0.2337
0.36,5,1377966.63,60.11,0.5977
0.84,4,1311250,59.63,0.7408
0.85,4,1311250,59.63,0.7408
0.86,4,1311250,59.63,0.7408
0.7,6,1302254.45,59.22,0.729
0.71,6,1302254.45,59.22,0.729
0.72,6,1302254.45,59.22,0.729
0.41,6,1354203.88,59.07,0.498
0.41,7,1354203.88,59.07,0.498
0.42,6,1354203.88,59.07,0.498
0.43,6,1354203.88,59.07,0.498
0.44,6,1354203.88,59.07,0.498
0.45,6,1354203.88,59.07,0.498
0.46,6,1354203.88,59.07,0.498
0.47,6,1354203.88,59.07,0.498
0.48,6,1354203.88,59.07,0.498
0.9,3,1294517.88,58.87,0.231
1.26,2,1319307.67,58.78,0.3735
1.27,2,1319307.67,58.78,0.3735
1.28,2,1319307.67,58.78,0.3735
1.29,2,1319307.67,58.78,0.3735
1.3,2,1319307.67,58.78,0.3735
1.31,2,1319307.67,58.78,0.3735
1.32,2,1319307.67,58.78,0.3735
1.33,2,1319307.67,58.78,0.3735
1.34,2,1319307.67,58.78,0.3735
1.35,2,1319307.67,58.78,0.3735
1.36,2,1319307.67,58.78,0.3735
1.37,2,1319307.67,58.78,0.3735
1.38,2,1319307.67,58.78,0.3735
1.39,2,1319307.67,58.78,0.3735
1.4,2,1319307.67,58.78,0.3735
1.41,2,1319307.67,58.78,0.3735
1.42,2,1319307.67,58.78,0.3735
1.43,2,1319307.67,58.78,0.3735
1.44,2,1319307.67,58.78,0.3735
1.45,2,1319307.67,58.78,0.3735
1.46,2,1319307.67,58.78,0.3735
1.47,2,1319307.67,58.78,0.3735
