#,P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
13681,0.62,4,-18756137.25,-113.95,-1.8120
13682,0.63,4,-18756137.25,-113.95,-1.8120
13683,0.17,42,-18761266.48,-128.98,-2.5912
13684,0.86,2,-18806970.10,-114.26,-1.9863
13685,0.15,38,-18811448.75,-115.41,-2.1161
13686,0.18,38,-18820532.25,-129.69,-2.6503
13687,0.14,47,-18862283.05,-126.12,-2.1674
13688,0.17,35,-18866144.55,-126.15,-2.4492
13689,0.15,43,-18986295.80,-130.53,-2.3133
13690,0.19,34,-18989268.20,-130.85,-2.5027
13691,0.16,44,-19024616.57,-127.21,-2.6675
13692,0.17,37,-19025788.83,-127.22,-2.5534
13693,0.17,47,-19028668.20,-139.58,-2.7365
13694,0.16,43,-19042084.90,-130.91,-2.4235
13695,0.87,2,-19053070.50,-115.76,-2.0323
13696,0.17,32,-19103375.10,-127.73,-2.4099
13697,0.16,36,-19126825.38,-117.35,-2.2270
13698,0.12,49,-19135868.35,-116.26,-2.2216
13699,1.54,1,-19236262.30,-116.87,-2.0296
13700,0.15,40,-19330134.35,-129.25,-2.2688
13701,0.19,30,-19356974.85,-133.39,-2.3436
13702,0.19,37,-19382937.73,-133.57,-2.6657
13703,0.31,9,-19429971.67,-118.05,-2.2856
13704,0.94,2,-19454662.02,-118.20,-2.0187
13705,0.66,3,-19486279.18,-127.44,-1.6526
13706,0.89,2,-19513504.72,-118.56,-2.0593
13707,0.23,13,-19533275.02,-126.69,-2.2677
13708,0.37,7,-19540743.60,-118.72,-2.3097
13709,0.15,42,-19584438.32,-130.95,-2.3395
13710,0.16,42,-19633431.55,-134.98,-2.4303
13711,0.26,12,-19659558.20,-119.44,-2.1863
13712,0.16,50,-19778773.83,-145.08,-2.8288
13713,0.14,49,-19779997.40,-136.30,-2.1982
13714,0.17,28,-19789430.00,-132.32,-2.1908
13715,0.15,45,-19817646.80,-132.51,-2.5324
13716,0.17,45,-19898821.10,-133.05,-2.7615
13717,0.15,39,-19901376.85,-133.07,-2.3381
13718,0.34,7,-19907821.25,-133.11,-2.1835
13719,0.2,18,-20009637.15,-121.57,-2.3282
13720,0.18,30,-20067051.83,-138.28,-2.4534
13721,0.19,29,-20096513.57,-138.48,-2.3982
13722,0.14,41,-20213964.95,-135.16,-2.2159
13723,0.14,46,-20215566.85,-135.17,-2.3025
13724,0.12,48,-20305133.02,-123.37,-2.2850
13725,0.85,2,-20352456.80,-123.65,-2.1298
